"DisplayName","Category","TargetClasses","TotalKills","SourceRows"
"[3AS] HMP (Transport)","AIRCRAFT","3AS_HMP_Transport","1","1"
"[3AS] Octuptarra (Torpedo)","APC_IFV","3AS_Octuptarra_Torpedo_F","1","1"
"[3AS] Platoon Assault Craft (Brown)","APC_IFV","3AS_PAC_Brown","1","1"
"B1 crew droid","CREW_OR_PILOT","JLTS_Droid_B1_Crew; O_DBA_CIS_B1_Crew_Droid_F","28","5"
"B1 Pilot Droid","CREW_OR_PILOT","O_DBA_CIS_B1_Pilot_Droid_F","1","1"
"OOM pilot droid","CREW_OR_PILOT","JLTS_Droid_B1_Pilot","1","1"
"[3AS] CIS Inf Light","INFANTRY","3AS_U_CIS_Light","1","1"
"B1 Command Droid (TESTBED)","INFANTRY","O_DBA_CIS_B1_Command_Droid_F_TESTBED","28","3"
"B1 Droid","INFANTRY","O_DBA_CIS_B1_Droid_F; O_DBA_CIS_B1_Droid_Geonosis_F; O_DBA_CIS_B1_Droid_Jungle_F; O_DBA_CIS_B1_Droid_Training_F; O_DBA_CIS_B1_Droid_Winter_F","83","10"
"B1 Droid (TESTBED)","INFANTRY","O_DBA_CIS_B1_Droid_F_TESTBED","202","3"
"B1 Flamer Droid","INFANTRY","O_DBA_CIS_B1_Flamer_Droid_Geonosis_F; O_DBA_CIS_B1_Flamer_Droid_Training_F","4","4"
"B1 Heavy Droid","INFANTRY","O_DBA_CIS_B1_Heavy_Droid_Geonosis_F; O_DBA_CIS_B1_Heavy_Droid_Training_F","6","3"
"B1 Heavy Droid (TESTBED)","INFANTRY","O_DBA_CIS_B1_Heavy_Droid_F_TESTBED","46","2"
"B1 Marine Droid","INFANTRY","O_DBA_CIS_B1_Marine_Droid_F","1","1"
"B1 Rocket Droid","INFANTRY","O_DBA_CIS_B1_Rocket_Droid_F","1","1"
"B1 Security Droid","INFANTRY","O_DBA_CIS_B1_Security_Droid_F","1","1"
"B1 Shotgunner Droid (TESTBED)","INFANTRY","O_DBA_CIS_B1_Shotgunner_Droid_F_TESTBED","8","1"
"BX Commando","INFANTRY","WBK_LS_BX","8","1"
"BX Commando Droid","INFANTRY","ls_droid_bx","4","1"
"BX Commando Droid Captain","INFANTRY","ls_droid_bx_captain","6","1"
"Crawler","INFANTRY","Zombie_O_Crawler_LIB_GER","24","3"
"DBA BX Commando","INFANTRY","O_DBA_CIS_BXCommando_F","16","3"
"Droideka","INFANTRY","ls_droid_droideka; ls_droid_droideka_training","7","2"
"Rifleman","INFANTRY","O_Soldier_F","22","1"
"Shambler","INFANTRY","Zombie_O_Shambler_LIB_GER","43","3"
"Sprinter (Angry)","INFANTRY","Zombie_O_RA_LIB_GER","24","3"
"Sprinter (Calm)","INFANTRY","Zombie_O_RC_LIB_GER","23","2"
"Squad Leader","INFANTRY","O_Soldier_SL_F","1","1"
"Team Leader","INFANTRY","O_Soldier_TL_F","7","1"
"Walker","INFANTRY","Zombie_O_Walker_LIB_GER","10","1"
"Droid Dispenser","LIGHT_VEHICLE","ls_droidDispenser","1","1"
"[3AS] B1 Battle Droid (AR)","SPECIALIST_INFANTRY","TAS_Droid_B1_AR","10","1"
"[3AS] B1 Battle Droid (Commander)","SPECIALIST_INFANTRY","TAS_Droid_B1_Commander","10","1"
"B1 AA Droid","SPECIALIST_INFANTRY","O_DBA_CIS_B1_AA_Droid_Geonosis_F","2","2"
"B1 AT Droid","SPECIALIST_INFANTRY","O_DBA_CIS_B1_AT_Droid_Training_F","2","2"
"B1 Battle Droid","SPECIALIST_INFANTRY","ls_droid_b1_geonosis","1","1"
"B1 battle droid (E-5)","SPECIALIST_INFANTRY","JLTS_Droid_B1_E5","4","2"
"B1 Battle Droid (Sergeant)","SPECIALIST_INFANTRY","ls_droid_b1_squadLeader","1","1"
"B1 Sniper Droid","SPECIALIST_INFANTRY","O_DBA_CIS_B1_Sniper_Droid_Geonosis_F","1","1"
"B1 Sniper Droid (TESTBED)","SPECIALIST_INFANTRY","O_DBA_CIS_B1_Sniper_Droid_F_TESTBED","44","3"
"Bloater","SPECIALIST_INFANTRY","Zombie_Special_OPFOR_Boomer","3","2"
"DBA B2 Battledroid","SPECIALIST_INFANTRY","DBA_B2Battledroid_F","2","1"
"[3AS] J10s Blaster Turret","STATIC_WEAPON","3AS_J10s_F","3","1"
"[3AS] Octuptarra Torpedo (Static)","STATIC_WEAPON","3AS_Octuptarra_Static_Torpedo_F","2","2"
"[3AS] OG-9","STATIC_WEAPON","3AS_OG9Turret","2","1"
"[3AS] XX-9 Turbolaser","STATIC_WEAPON","3as_XX9","2","1"
"[DBA] Droideka","STATIC_WEAPON","DBA_Droideka","2","1"
"[3AS] AAT (CIS)","TANK","3AS_AAT_CIS","5","1"
"[3AS] AAT (Geonosis)","TANK","3AS_AAT_Geonosis","1","1"
"MTT","TANK","O_DBA_CIS_MTT_F","1","1"
"CIS Wall Med","VEHICLE","land_3AS_CIS_Wall_Med_v2","1","1"
"Concrete Barrier","VEHICLE","Land_CncBlock","2","1"
"Garage Single w/ Interior (Concrete)","VEHICLE","Land_Garaz_mala","1","1"
"Kill House - Wall Long","VEHICLE","3AS_Prop_FOB_Sh_Wall_Long","1","1"
"LAAT/I Mk2 (Wrecked)","VEHICLE","3AS_LAAT_Mk2_StaticWreck","1","1"
"Large Supply Crate (Blue)","VEHICLE","3AS_Supply_Large_Blue_Prop","1","1"
"Pop-Up Target 9","VEHICLE","TargetP_Inf9_F","1","1"
"Straight","VEHICLE","3as_ModularPlatform_Straight_CIS","1","1"
"Tentacle 4 L Purple","VEHICLE","land_3as_Umbara_tentacle4_L_P","6","2"
